"cov01","cov02","cov04c","strata","no_urut","id_unique","gender","gender_text","education","education_text","date_submission_kur","record_reminder","sq02","sq03","sq04","sq05","ir01c","ir01d","ir01e","ir01f","ir02b","ir02c","ir03","ir03a","ir03a_w","ir03a_b","ir03a_c","ir03a_d","ir03a_v","ir05","ir05_tahun","ir06","ir06a","ir06a_w","ir06a_b","ir06a_c","ir06a_d","ir06a_e","ir06a_v","bi01b","bi01b_sector","bi01b_subsector","bi02x","bi02","bi02_repeat_count","bi03calc","bi04x","bi04","bi04_repeat_count","bi06","bi06_a","bi06_b","bi06_c","bi06_d","bi06_e","bi06_f","bi06_g","bi06_h","bi06_i","bi06_j","bi06_k","bi06_l","bi06_m","bi06_n","bi06_o","bi06_p","bi06_q","bi06_r","bi06_s","bi06_t","bi06_z","bi06_v","bi06_calc","bi06a","bi07","bi07_a","bi07_b","bi07_c","bi07_d","bi07_e","bi07_f","bi07_g","bi07_v","bi07_w","bi07_y","bi08a","bi08b","bi08b1","bi08b2","bi08b3","bi08b4","bi08b5","bi08b6","bi08b7","bi08b8","bi08b9","bi08_repeat_count","cl01x","cl01a","cl01b","cl02","cl02_a","cl02_b","cl02_c","cl02_d","cl02_e","cl02_f","cl02_g","cl02_h","cl02_i","cl02_j","cl02_v","cl02a","cl03_a","cl03_b","cl03_c","cl03_d","cl04ax","cl04a","cl04b_min","cl04b_max","cl04c","cl05ax","cl05a","cl05b_min","cl05b_max","cl05c","reserved_name_for_field_list_lab","cl06","cl07","cl08","cl09","cl10","cl11","bp01","bp02","bp03","bp04","bp05","bp06","bp07","bp08","bp09","bp10","we01_a","we01_b","we01_c","we01_d","ri01ax","ri01a","ri01b_min","ri01b_max","ri01c","ri02ax","ri02a","ri02b_min","ri02b_max","ri02c","fl01","v195","fl02a","fl02b","fl02c","fl02d","fl02e","fl02f","fl02g","fl02h","fl02i","fl02j","fl02k","fl02l","fl02m","fl02v","fl02_warn","fl02_calc","fl03a1","fl03a2","fl03b1","fl03b2","fl04","fl05","fl06","fl07x","fl07","fl08x","fl08","fl09","v226","rf01a","rf01b","rf01cc","rf01dd","rf01e","rf01f","rf01g","rf01h","rf01i","rf01j","rf01k","rf01l","rf01m","rf01n","rf01v","rf01_warn","rf01_calc","rf01a1","rf01a2","rf01b1","rf01b2","rf01c","rf01d","rf02","rf03","rf04","rf04_a","rf04_b","rf04_c","rf04_d","rf04_v","rf04_w","rf04_y","rf05_repeat_count","rf06","rf07x","rf07","rf08","rf09","rf10_period","rf10","rf10_percent","rf10_rupiah","rf11","rf11_rupiah","rf12","rf13","rf13_a","rf13_b","rf13_c","rf13_d","rf13_e","rf13_f","rf13a","rf13b","rf13c","rf13d","rf13e","rf13f","rf13_calc","rf14","rf14_a","rf14_b","rf14_c","rf14_d","rf14_e","rf14_f","rf14_g","rf14a","rf14b","rf14c","rf14d","rf14e","rf14f","rf14g","rf14_calc","rf15_group_count","rf16a","rf16b","rf16c","rf16d","rf16e","rf16f","rf16g","rf16h","rf16i","ke01","ke02","ke03","ke03_rupiah","ke04","ke05","ke05_a","ke05_b","ke05_c","ke05_d","ke05_e","ke05_v","ke06","ke07","ke08","ke09","ke10","ke11","ke12","ke12_a","ke12_b","ke12_c","ke12_d","ke12_v","ke12_w","ke13","ke13_a","ke13_b","ke13_c","ke13_d","ke13_e","ke13_f","ke13_g","ke13_v","co01","co02","co02_a","co02_b","co02_c","co02_d","co02_e","co02_v","co03","co04","co05","co05a","co05b","co06x","co06","co07","co08","co09","co09_a","co09_b","co09_c","co09_d","co09_e","co09_f","co09_v","co09a","co09b","co09c","co09d","co09e","co09f","co09v","co10","co11","co12","end_time","cov08","cov09","weight","sd","start_date","wgt","birth1","birth2","birth3","birth_month_year"
"JAWA TIMUR","PACITAN",1,6,401,"S6_401",1,"MALE",2,"JUNIOR HIGH SCHOOL (SMP)","24-07-2017","YA",1,1,1,3,1,96,4,96,,,"24-07-2017","A B",0,1,0,0,0,1,,"98-98-2014","E",0,0,0,0,1,0,"RETAIL ON SHEEPS RAISED IN A YARD",46,468,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"C",0,0,1,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,3,3,3,3,3,0,0,1,1,1,3500000,,,,1,2000000,,,,"07-2017",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","L","M","L","M",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","N","A","A","N",15000000,1,2,2,,,,,,,,,2,2,98,,12,3,,,,,1,1800000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,3,3,3,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"C",0,0,1,0,0,0,1,,3,,30,1,1,3,3,,,,,,,,,,,,,,,,,1,5,"10:28:09",1,,13170.4345703125,"01-01-2014",1/1/2014,13170,"10","05","1985","051985"
"JAWA TENGAH","BANJARNEGARA",1,6,410,"S6_410",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","29-06-2017","YA",1,1,1,3,1,96,5,96,,,"29-06-2017","A",0,0,0,0,0,1,,"26-03-2010","W",1,0,0,0,0,0,"TRAVEL AND TRANSPORTATION SERVICE ",49,494,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"B G",0,1,0,0,0,0,1,0,0,0,1,1,"USED MOTORCYCLE TRADING",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,3,1,3,1,1,0,0,1,1,3000000,,,,1,1500000,,,,"06-2017",,3,1,3,3,1,3,3,3,1,3,3,1,3,3,4,"B   E    I   L","I","L","L","I",3,,,,,1,5000000,5,,1,3,3,3,3,3,3,3,3,1,3,3,1,1,3,4,"A         J   M N","A","J","N","M",25000000,1,2,2,,,,,,,,,2,2,1,350000000,24,1,1,1,0.300000011920929,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"B D",0,1,0,1,0,0,0,0,50,0,50,0,0,0,100,4,3,3,1,3,3,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"D",0,0,0,1,0,0,1,,2,,,1,1,3,1,"B",0,1,0,0,0,0,0,,"PRINCIPAL PAYMENT WAS SUSPENDED FOR 6 MONTHS",,,,,,24,1,8,"11:45:26",1,,13170.4345703125,"26-03-2010",3/26/2010,13170,"07","04","1978","041978"
"JAWA TENGAH","PURWOREJO",1,6,423,"S6_423",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","09-04-2019","YA",1,1,1,3,1,96,3,96,,,"98-98-2017","C D",0,0,1,1,0,1,,"98-98-2000","C E",0,0,1,0,1,0,"PADDY, CORN AND SUGAR CANE AGRICULTURE",1,11,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"W",0,0,0,0,0,0,0,0,1,0,1,1,"CAT FISH CULTIVATION",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,3,0,4,1,5,1,1830000,,,,1,830000,,,,"98-2017",,1,1,3,3,1,3,3,3,3,3,3,1,3,3,4,"A B   E       L","B","L","B","L",1,3,4500000,1,25,1,2000000,1,,1,3,1,3,3,3,3,3,3,3,3,1,3,1,3,4,"A  C         L  N","C","N","A","C",7000000,1,2,2,,,,,,,,,2,2,98,,24,3,,,,,1,320000,1,"A D",1,0,0,1,0,0,50,"0",0,50,0,0,100,"A C",1,0,1,0,0,0,0,60,0,40,0,0,0,0,100,4,3,3,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,20,1,1,3,3,,,,,,,,,,,,,,,,,3,,"13:53:22",1,,13170.4345703125,"01-01-2000",1/1/2000,13170,"20","11","1964","111964"
"JAWA TIMUR","PONOROGO",1,6,606,"S6_606",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","07-10-2016","YA",1,1,1,3,1,96,7,1,,,"07-10-2016","W",1,0,0,0,0,1,,"98-98-2000","C E",0,0,1,0,1,0,"REOG CRAFTS PRODUCTION AND SOLD AT THE STANDS AT HOME",90,900,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"B C D G",0,1,1,1,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,3,1,1,1,3,2,1,0,3,1,60000000,,,,1,4000000,,,,"10-2016",,1,1,3,3,3,3,3,3,3,3,3,3,1,3,3,"A B           M","M","A","A","M",1,2,225000000,98,,1,150000000,1,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","N","A","N",150000000,1,2,2,,,,,,,,,2,2,1,500000,48,3,,,,,1,3500000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,1,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,60,1,1,3,3,,,,,,,,,,,,,,,,,3,,"16:45:38",1,,13170.4345703125,"01-01-2000",1/1/2000,13170,"28","07","1948","071948"
"JAWA TIMUR","PROBOLINGGO",1,6,613,"S6_613",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","19-11-2017","YA",1,1,1,3,1,96,4,1,,,"98-04-2011","B C D",0,1,1,1,0,1,,"98-01-2010","A B C",0,1,1,0,0,0,"TOBBACO AGRICULTURE",1,11,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"W",0,0,0,0,0,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,1,3,1,5,30,0,35,1,3166000,,,,1,2300000,,,,"04-2011",,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,"L","L","AA","L","AA",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,"A            M N","M","A","A","M",10000000,1,5,5,,,,,,,,,5,2,1,9000000,4,1,1,1,1.79999995231628,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,1,3,96,96,96,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,2,3,,,,,,,,,,,,,,,,,,,,3,,"10:43:05",1,,13170.4345703125,"01-01-2010",1/1/2010,13170,"21","03","1995","031995"
"DKI JAKARTA","JAKARTA SELATAN",1,6,823,"S6_823",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","05-04-2019","YA",1,1,1,3,1,96,3,96,,,"05-04-2019","W",1,0,0,0,0,3,2021,"15-05-2009","W",1,0,0,0,0,0,"DECORATION TOOLS RENTAL BUSINESS FOR WEDDING AND BIRTHDAY EVENTS",77,772,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"W",0,0,0,0,0,0,0,0,1,0,3,,,,,,,,,,,,3,,,"E",0,0,0,0,1,0,0,0,0,0,0,,0,4,0,4,1,40000000,,,,1,20000000,,,,,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"04-2019",,3,3,3,3,3,3,3,3,3,1,1,1,1,3,4,"J K L M","K","M","M","K",3,,,,,1,30000000,11,,1,3,3,3,3,3,3,3,3,3,1,3,1,1,3,4,"A          K  M N","A","N","M","K",25000000,1,1,1,,,,,,,,,1,2,1,75000000,18,1,1,1,0.300000011920929,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"B",0,1,0,0,0,0,0,0,100,0,0,0,0,0,100,4,3,1,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13:14:18",1,,13170.4345703125,"15-05-2009",5/15/2009,13170,"17","03","1980","031980"
"JAWA BARAT","MAJALENGKA",1,6,615,"S6_615",1,"MALE",6,"OTHER  ____________","30-03-2016","YA",1,1,1,3,1,96,3,95,,,"30-03-2016","W",1,0,0,0,0,1,,"98-98-1975","B C E",0,1,1,0,1,0,"STREET SELLING MEATBALL TOFU ",56,561,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,1,3,1,0,0,2,2,1,6000000,,,,1,4500000,,,,"03-2016",,3,3,3,3,3,3,3,1,3,1,1,1,1,3,5,"H  J K L M","J","AA","M","J",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,"A            M N","N","A","M","AA",10000000,1,1,1,,,,,,,,,1,2,1,100000000,18,3,,,,,1,550000,1,"A B",1,1,0,0,0,0,80,"20",0,0,0,0,100,"B",0,1,0,0,0,0,0,0,100,0,0,0,0,0,100,4,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,60,3,,,,,,,,,,,,,,,,,,,,1,8,"16:26:31",1,,13170.4345703125,"01-01-1975",1/1/1975,13170,"05","01","1962","011962"
"DI YOGYAKARTA","BANTUL",1,6,19,"S6_19",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","28-02-2020","YA",1,1,1,3,1,96,5,1,,,"28-02-2020","W",1,0,0,0,0,2,2020,"25-02-2015","W",1,0,0,0,0,0,"STORE SELLING HONEY AND HERBAL MEDICINE",47,477,1,1,1,100,1,2,2,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"G",0,0,0,0,0,0,1,0,0,0,1,1,"USED MOTORCYCLE TRADING",,,,,,,,,1,1,"OCT, 2020",1,"E",0,0,0,0,1,0,0,0,0,0,0,,0,0,1,1,1,5000000,,,,1,2500000,,,,,3,3,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,"02-2020",,3,3,3,3,3,3,3,3,3,1,3,1,1,3,3,"J  L M","J","L","L","J",3,,,,,1,10000000,10,,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,"A            M N","A","N","N","AA",20000000,1,1,1,,,,,,,,,1,2,1,3500000,24,1,1,1,0.600000023841858,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"B",0,1,0,0,0,0,0,0,100,0,0,0,0,0,100,4,3,3,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,3,3,,70,1,1,1,3,,,,,,,,,,,,,,,,,3,,"17:54:59",1,,13170.4345703125,"25-02-2015",2/25/2015,13170,"09","12","1974","121974"
"JAWA TIMUR","PROBOLINGGO",1,3,78,"S3_78",2,"FEMALE",3,"SENIOR HIGH SCHOOL (SMA)","02-08-2018","YA",1,1,1,3,3,96,5,96,,,"02-08-2018","W",1,0,0,0,0,1,,"98-98-2010","C E",0,0,1,0,1,0,"CANTEEN AND CATERING SERVICE",56,561,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"B G",0,1,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,1,1,2,2,1,5,1,14000000,,,,1,5000000,,,,"08-2018",,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,"K L M","K","AA","M","K",1,3,200000000,98,,1,100000000,1,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","N","A","N",200000000,1,1,1,,,,,,,,,1,2,1,400000000,60,3,,,,,1,3800000,1,"A B",1,1,0,0,0,0,50,"50",0,0,0,0,100,"A B",1,1,0,0,0,0,0,75,25,0,0,0,0,0,100,4,3,3,3,1,96,96,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,,,1,1,3,3,,,,,,,,,,,,,,,,,3,,"11:01:26",1,,5884.0625,"01-01-2010",1/1/2010,5884,"25","11","1984","111984"
"JAWA TIMUR","JEMBER",1,3,176,"S3_176",2,"FEMALE",3,"SENIOR HIGH SCHOOL (SMA)","12-07-2018","YA",1,1,1,3,3,96,4,1,,,"12-07-2018","W",1,0,0,0,0,1,,"98-98-2004","CE",0,0,1,0,1,0,"SELLING BIRDS",47,477,1,1,1,100,1,2,2,"A L",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,"A","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,1,0,0,2,2,1,15000000,,,,1,3000000,,,,"07-2018",,1,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A            M","A","M","M","A",1,4,4500000,98,,1,1500000,1,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","AA","A","N",75000000,1,1,1,,,,,,,,,1,2,1,225000000,36,3,,,,,1,2350000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A B",1,1,0,0,0,0,0,50,50,0,0,0,0,0,100,4,3,3,3,96,96,96,96,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,,,1,1,3,1,"B",0,1,0,0,0,0,0,,"PRINCIPAL PAYMENT WAS SUSPENDED FOR 6 MONTHS",,,,,,6,3,,"13:22:13",1,,5884.0625,"01-01-2004",1/1/2004,5884,"10","04","1974","041974"
"BALI","DENPASAR",1,6,824,"S6_824",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","07-10-2016","YA",1,1,1,3,1,96,7,1,,,"07-10-2016","W",1,0,0,0,0,1,,"98-98-2011","E",0,0,0,0,1,0," ""NASI TUMPANG"" PRODUCTION FOR RELIGIOUS EVENT (SESAJEN)",10,107,1,1,1,100,1,2,2,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"B C G",0,1,1,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,3,3,1,2,0,1,3,1,8000000,,,,1,5200000,,,,"10-2016",,3,3,3,3,3,3,3,3,3,1,3,1,1,3,3,"J  L M","M","L","M","L",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,1,3,1,1,3,4,"A          K  M N","M","N","A","N",25000000,1,1,1,,,,,,,,,1,2,1,25000000,36,1,1,1,0.899999976158142,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A B",1,1,0,0,0,0,0,80,20,0,0,0,0,0,100,4,1,1,1,1,1,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,25,3,,,,,,,,,,,,,,,,,,,,3,,"20:45:55",1,,13170.4345703125,"01-01-2011",1/1/2011,13170,"05","05","1984","051984"
"SUMATERA BARAT","LIMA PULUH KOTA",1,38,197,"S38_197",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","13-12-2019","YA",1,1,1,3,1,96,5,96,,,"13-12-2019","W",1,0,0,0,0,1,,"98-98-1991","C E",0,0,1,0,1,0,"FURNITURE PRODUCTION, SUCH AS TABLES, CHAIRS, CABINETS, COTTONS",31,310,1,2,2,100,1,2,2,"A B K L",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,"A","G",0,0,0,0,0,0,1,0,0,0,1,2,"GINGER PLANTATION","GROCERIES STALL",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,1,3,1,3,3,0,0,1,1,1,12000000,,,,1,3000000,,,,"98-2017",,1,3,3,3,3,3,3,3,1,3,3,3,1,3,3,"A        I    M","M","A","M","I",1,9,200000000,1,1.5,1,85000000,1,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","N","A","N","A",25000000,1,3,3,,,,,,,,,3,2,98,,24,3,,,,,1,1124000,1,"A B",1,1,0,0,0,0,50,"50",0,0,0,0,100,"A C",1,0,1,0,0,0,0,50,0,50,0,0,0,0,100,4,3,3,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,25,1,1,3,3,,,,,,,,,,,,,,,,,1,95,"23:27:23",1,,6339.873046875,"01-01-1991",1/1/1991,6340,"17","06","1953","061953"
"KEP. RIAU","BINTAN",1,33,35,"S33_35",2,"FEMALE",3,"SENIOR HIGH SCHOOL (SMA)","26-11-2018","YA",1,1,1,3,3,96,5,96,,,"26-11-2018","W",1,0,0,0,0,3,2020,"29-11-2015","W",1,0,0,0,0,0,"SELLING COFFEE, TEA, FOODS, SNACKS IN A STALL",56,561,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","G",0,0,0,0,0,0,1,0,0,0,1,1,"CAKE AND BAKERY",,,,,,,,,1,1,"MAR, 2020",1,"E G",0,0,0,0,1,0,1,0,0,0,0,"E",1,0,0,1,1,5200000,,,,1,2000000,,,,,1,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,"11-2018",,3,3,3,3,1,3,3,3,3,3,3,3,1,3,2,"E        M","E","AA","M","E",3,,,,,1,20000000,5,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","AA","N","A",80000000,1,2,1,"V",0,0,0,0,1,0,0,1,2,1,200000000,48,1,2,1,7,,,,1,"A B",1,1,0,0,0,0,40,"60",0,0,0,0,100,"A B F",1,1,0,0,0,1,0,30,60,0,0,0,10,0,100,4,3,3,1,3,3,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"B",0,1,0,0,0,0,4,1,3,,100,1,3,1,1,"B C",0,1,1,0,0,0,0,,"PRINCIPAL PAYMENT WAS SUSPENDED FOR 8 MONTHS","THE BANK ALLOWED TO DELAY THE PAYMENT OF INSTALLMENT FOR 6 MONTHS",,,,,6,1,9,"11:41:19",1,,3337.6875,"29-11-2015",11/29/2015,3338,"05","05","1981","051981"
"SUMATERA SELATAN","OGAN KOMERING ILIR",1,38,315,"S38_315",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","14-04-2019","YA",1,1,1,3,1,96,5,1,,,"98-98-2019","D",0,0,0,1,0,1,,"98-98-2012","E",0,0,0,0,1,0,"RUBBER TREES PLANTATION",1,12,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,1,0,1,2,3,1,5000000,,,,1,1500000,,,,"98-2017",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","L","AA","L","M",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","N","N","AA",50000000,1,2,2,,,,,,,,,2,2,1,80000000,36,3,,,,,1,1500000,96,"A F",1,0,0,0,0,1,10,"0",0,0,0,90,100,"A F",1,0,0,0,0,1,0,10,0,0,0,0,90,0,100,4,1,3,3,96,96,96,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,,,1,1,3,3,,,,,,,,,,,,,,,,,1,9,"13:06:55",1,,6339.873046875,"01-01-2012",1/1/2012,6340,"15","06","1997","061997"
"LAMPUNG","LAMPUNG TIMUR",1,38,316,"S38_316",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","12-02-2020","YA",1,1,1,3,1,96,3,96,,,"12-02-2020","W",1,0,0,0,0,1,,"14-03-1991","W",1,0,0,0,0,0,"CORN AND PADDY AGRICULTURE",1,11,1,1,1,100,1,1,1,"A K Z",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,"A","W",0,0,0,0,0,0,0,0,1,0,1,1,"A WHOLESALE OF FRUITS",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,3,3,3,0,3,1,4,1,5695000,,,,1,5100000,,,,"02-2020",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","L","AA","M","L",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","N","AA","A","AA",8000000,1,2,2,,,,,,,,,2,2,1,14000000,6,3,,,,,1,1400000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A D",1,0,0,1,0,0,0,30,0,0,70,0,0,0,100,4,3,3,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,30,3,,,,,,,,,,,,,,,,,,,,3,,"15:38:36",1,,6339.873046875,"14-03-1991",3/14/1991,6340,"06","03","1972","031972"
"NUSA TENGGARA TIMUR","MANGGARAI BARAT",1,19,2,"S19_2",2,"FEMALE",3,"SENIOR HIGH SCHOOL (SMA)","11-01-2018","YA",1,1,1,3,3,96,5,96,,,"11-01-2018","W",1,0,0,0,0,1,,"01-01-2010","W",1,0,0,0,0,0,"LAUNDRY CLOTHING SERVICES",96,961,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","B C D G",0,1,1,1,0,0,1,0,0,0,1,1,"SELLING SMOKED PORK",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,1,3,1,1,3,2,0,0,2,1,4500000,,,,1,2000000,,,,"06-2014",,3,3,3,3,3,1,3,3,3,3,3,1,1,3,3,"F      L M","F","M","F","M",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,"A            M N","A","N","A","N",75000000,1,2,2,,,,,,,,,2,2,1,250000000,60,3,,,,,1,3625000,96,"B",0,1,0,0,0,0,0,"100",0,0,0,0,100,"A B",1,1,0,0,0,0,0,10,90,0,0,0,0,0,100,4,3,1,1,96,96,96,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"C D",0,0,1,1,0,0,1,,3,,90,1,3,3,1,"B",0,1,0,0,0,0,0,,"PRINCIPAL PAYMENT WAS SUSPENDED FOR 6 MONTHS",,,,,,6,1,3,"11:33:43",1,,700.25,"01-01-2010",1/1/2010,700,"05","07","1980","071980"
