"id_unique","bi08_no","bi08_text","bi08c","bi08d_a","bi08d_b","bi08d_c","bi08d_d","wgt"
"S1_211",1,"CHILI AGRICULTURE",3,0,3,0,3,5828
"S1_251",1,"CLOTHES AND UNDERWARE STORE",3,1,0,0,1,5828
"S1_30",1,"FOOD STALL ""SOTO AYAM""",3,0,0,1,1,5828
"S1_53",1,"SEWING FOR CLOTHES SERVICE FOR SCHOOL UNIFORM, CLOTHES AND PANTS",3,0,2,0,2,5828
"S1_58",1,"FOOD STALL SELLING: MEATBALLS, TEMPURA, FRIED MEATBALLS, ETC",3,0,0,2,2,5828
"S1_72",1,"KIOSK RENT SERVICES",1,0,0,0,0,5828
"S1_75",1,"AIR TIME TOP UP COUNTER",3,0,0,1,1,5828
"S1_9",1,"RETAIL OF ELECTRONIC EQUIPMENTS: HANDPHONE BY CREDIT OR CASH BY ORDER",1,0,0,1,1,5828
"S1_97",1,"VEGETABLES AGRICULTURE",1,4,0,0,4,5828
"S20_10",1,"BILLIARD SPORT CENTER",3,1,0,0,1,783
"S20_33",1,"PORANG AGRICULTURE",3,0,0,0,0,783
"S20_332",1,"CAT FISH CULTIVATION",2,0,0,0,0,783
"S20_35",1,"PUBLIC TRANSPORTATION SERVICE FOR PASSANGER",3,2,0,0,2,783
"S20_362",1,"PADDY AGRICULTURE",3,0,3,1,4,783
"S20_37",1,"DUCK FARMING",3,0,0,2,2,783
"S20_4",1,"CHICKEN LIVESTOCK",3,0,0,2,2,783
"S20_58",1,"FOOD STALL SELLING NASI KUNING",3,0,0,1,1,783
"S20_88",1,"WALET NEST TRADING",2,1,0,0,1,783
"S20_89",1,"WHOLESALE OF NUTMEGS",3,0,2,0,2,783
"S20_89",2,"PADDY AND CORN AGRICULTURE",3,0,29,0,29,783
"S21_1",1,"KEROSINE HOME STATION",3,0,0,4,4,5724
"S21_1",2,"PRODUCTION AND SELLING OF CAKES",3,0,0,3,3,5724
"S21_130",1,"PADDY AGRICULTURE",3,0,8,1,9,5724
"S21_167",1,"PRODUCTION AND SELLING OF TRADITIONAL CAKES ",3,0,0,1,1,5724
"S21_22",1,"PRODUCTION AND SELLING OF TRADITIONAL CAKES ",3,0,0,0,0,5724
"S21_317",1,"CATTLE FARMING",1,0,0,2,2,5724
"S21_354",1,"RETAIL OF TRADITIONA CAKES IN FRONT OF THE HOUSE",3,0,0,0,0,5724
"S21_362",1,"COCONUT PLANTATION",1,0,2,0,2,5724
"S21_4",1,"SELLING ORIFLAME VIA ONLINE",3,0,0,0,0,5724
"S21_44",1,"PIG FARMING",3,0,0,1,1,5724
"S21_54",1,"GROCERIES STORE ",3,0,0,2,2,5724
"S21_54",2,"SEWING SERVICE",3,0,0,0,0,5724
"S21_64",1,"RETAIL OF SALT WATER FISHES IN FRON OF THE HOUSE",3,0,0,1,1,5724
"S21_72",1,"PRODUCTION AND SELLING OF BANANA AND CASSAVA CRISP ",3,0,0,0,0,5724
"S22_122",1,"PLAY STATION (PS) RENTAL BUSINESS",3,0,1,0,1,5777
"S22_128",1,"PADDY AND PALAWIJA AGRICULTURE",2,0,0,0,0,5777
"S22_158",1,"COCONUT PLANTATION",3,0,0,0,0,5777
"S22_16",2,"RETAIL OF PORKS IN KIOSK",3,0,2,0,2,5777
"S22_16",1,"COFFEE SHOP",3,0,2,0,2,5777
"S22_161",1,"ONLINE COSMETIC SELLING",2,0,0,0,0,5777
"S22_177",1,"SEA WEED CULTIVATION",3,0,5,0,5,5777
"S22_177",2,"CHICKEN LIVESTOCK",3,0,0,1,1,5777
"S22_293",1,"GROCERIES STORE SELLING RICE, WHEAT FLOUR, SALT, VEGETABLES, MEATS, ETC. BY ORDER",3,0,0,0,0,5777
"S22_35",1,"FOOD STALL",1,1,0,1,2,5777
"S22_4",1,"RETAIL ON CLOTHES",3,0,0,1,1,5777
"S22_46",1,"TIRE REPAIRMENT SERVICES",3,0,0,1,1,5777
"S22_6",1,"PADDY AND CHILI AGRICULTURE",3,2,18,0,20,5777
"S22_77",1,"PRIVATE EDUCATION PROVIDER",3,12,0,0,12,5777
"S22_79",3,"HOUSE RENT SERVICE",3,0,0,0,0,5777
"S22_79",2,"TRANSPORTATION SERVICE FOR MATERIALS: SANDS, BRICKS, ETC. USING PICK UP",3,3,2,0,5,5777
"S22_79",1,"RETAIL OF CEMENT BY ORDER",3,0,0,1,1,5777
"S22_9",1,"RESELLER OF PASTRIES",3,0,0,1,1,5777
"S22_92",1,"GOAT FARMING",3,0,0,1,1,5777
"S23_10",1,"RETAIL OF HOME APPLIANCES, CLOTHES, TUPPERWARE BY ORDER ",3,0,0,0,0,163
"S23_11",1,"FOOT STALL - ANGKRINGAN",3,3,0,0,3,163
"S23_18",1,"CAR RENT SERVICE",3,0,2,0,2,163
"S23_18",2,"HOUSE RENT SERVICE",1,0,0,0,0,163
"S23_22",1,"CAR RENT SERVICE",2,2,0,0,2,163
"S23_22",2,"RETAIL OF HERBAL MEDICINES VIA ONLINE",2,0,0,0,0,163
"S23_28",1,"GROCERIES STALL",3,0,0,0,0,163
"S23_29",1,"ONLINE CLOTHES STORE",3,0,0,0,0,163
"S23_35",1,"SELLING SNACKS AND SOUP NOODLES",3,0,1,2,3,163
"S24_141",1,"PADDY AGRICULTURE",3,0,22,0,22,286
"S24_22",2,"CLOVE PLANTATION",3,0,10,2,12,286
"S24_22",3,"COCOA PLANTATION",3,0,0,2,2,286
"S24_22",1,"GROCERIES STORE",3,0,0,2,2,286
"S24_45",1,"RETAIL OF SHOES AND SLIPPERS IN MARKET",3,0,0,1,1,286
"S24_50",1,"PIG FARMING",3,0,0,4,4,286
"S24_50",3,"VEGETABLES AGRICULTURE: CABBAGES, TOMATO, AND PAPAYA",3,0,0,4,4,286
"S24_50",2,"WOOD SAWMILL SERVICE ",3,0,3,1,4,286
"S24_6",2,"BRICKS PRODUCTION",3,0,0,2,2,286
"S24_6",1,"PADDY AND CORN AGRICULTURE",3,0,0,2,2,286
"S24_71",2,"PADDY AND CORN AGRICULTURE",3,0,30,1,31,286
"S24_71",1,"PUBLIC TRANSPORTATION SERVICE FOR GOODS",3,0,0,1,1,286
"S24_75",1,"CATTLE FARMING",3,0,1,0,1,286
"S24_80",1,"PORANG SWEET POTATO",3,0,10,4,14,286
"S25_130",1,"CACAO PLANTATION",3,0,3,0,3,1174
"S25_142",1,"PIG FARMING",3,0,1,0,1,1174
"S25_16",1,"PRODUCTION OF CAKES BY ORDER",3,0,1,2,3,1174
"S25_18",1,"COPRA AND FRUITS TRADING",3,0,0,3,3,1174
"S25_20",1,"SEWING SERVICE FOR FEMALE CLOTH",3,0,0,0,0,1174
"S25_32",1,"MOTORCYCLE REPAIRMENT SERVICE",2,0,0,2,2,1174
"S25_42",1,"RETAIL OF GUAVA IN FRONT OF THE HOUSE",3,0,0,0,0,1174
"S25_56",2,"PRODUCTION AND SELLING OF BANANA CRISPS AND EMPING MELINJO",3,0,0,1,1,1174
"S25_56",1,"SELLING MEATBALLS BY ORDER",3,0,0,0,0,1174
"S25_61",1,"MINI GAS STATION",3,0,1,0,1,1174
"S25_73",1,"CATERING SERVICE",3,0,2,0,2,1174
"S25_92",1,"IRON WELDING WORKSHOP",3,0,3,0,3,1174
"S26_1",1,"HOUSE FOR RENTAL",3,0,0,0,0,1332
"S26_11",1,"INTERIOR DESIGNER",3,2,0,0,2,1332
"S26_126",1,"RETAIL OF FISHING TOOLS IN KIOSK IN FRONT OF THE HOUSE ",3,0,10,0,10,1332
"S26_17",1,"NICKEL MINING",3,0,30,0,30,1332
"S26_36",1,"CHILI AGRICULTURE",3,0,3,1,4,1332
"S26_37",1,"BRICKS PRODUCTION",3,20,0,0,20,1332
"S26_64",1,"""DUMP TRUCK"" TRANSPORTATION SERVICE",3,0,0,0,0,1332
"S26_71",1,"GROCERIES STORE ",3,0,0,1,1,1332
"S27_1",1,"HOME APPLIANCES TRADING BY CREDIT PAYMENT",3,0,0,0,0,1464
"S27_105",1,"SAVING AND LOAN COOPERATIVE",3,0,0,5,5,1464
"S27_15",2,"CHILI AGRICULTURE",3,0,10,2,12,1464
"S27_15",1,"GROCERIES STORE ",3,1,0,0,1,1464
"S27_15",3,"TRANSPORTATION SERVICE FOR MATERIALS",3,0,0,0,0,1464
"S27_35",1,"BEAUTY SALOON",3,2,0,0,2,1464
"S27_46",1,"PALM OIL PLANTATION",3,1,0,0,1,1464
"S27_63",1,"COFFEE, COCOA, AND COTTON PLANTATION",3,0,13,4,17,1464
"S27_80",1,"RETAIL OF RICE FROM HOME",3,0,0,0,0,1464
"S27_9",4,"WHOLESALE OF CACAO FROM FARMERS SOLD TO RETAILER AS ORDER",1,0,0,0,0,1464
"S27_9",3,"POULTRY SHOPS",1,2,2,0,4,1464
"S27_9",2,"WHOLESALE OF RICE FROM THE PADDY MILLING SERVICE SOLD TO RETAILER",1,0,0,0,0,1464
"S27_9",1,"SEA WEED CULTIVATION",1,2,0,0,2,1464
"S28_11",1,"COFFEE AND COCOA PLANTATION",3,0,6,0,6,1588
"S28_126",1,"CATTLE FARMING",3,1,0,0,1,1588
"S28_13",1,"GROCERIES STORE",3,0,0,1,1,1588
"S28_26",1,"CAR RENT SERVICE",3,0,0,0,0,1588
"S28_37",1,"PALM OIL PLANTATION",3,0,0,3,3,1588
"S28_59",1,"FATTENNING GOAT BUSINESS",1,0,5,0,5,1588
"S28_61",1,"HOUSE RENT FOR KOS",3,0,0,0,0,1588
"S28_65",1,"CAR RENT SERVICES",3,2,0,0,2,1588
"S29_1",1,"RETAILER OF AGRICULTURE FERTILIZER",3,0,1,1,2,5960
"S29_10",2,"HOUSE RENT FOR KOS",2,0,0,1,1,5960
"S29_10",1,"GROCERIES STORE",3,0,0,1,1,5960
"S29_110",1,"SELLING HOME APPLIANCES",3,0,0,1,1,5960
"S29_126",1,"CATERING SERVICE",3,0,2,1,3,5960
"S29_13",1,"FOOD STALL",3,0,0,1,1,5960
"S29_133",1,"WHOLESALE OF NUTMEGS FROM TRADERS TO OTHER TRADERS",3,0,0,3,3,5960
"S29_138",1,"LAUNDRY SERVICE ""WAHYU LAUNDRY""",3,0,0,1,1,5960
"S29_141",1,"LAUNDRY SERVICES",3,3,0,0,3,5960
"S29_151",2,"ONLINE SHOP",3,0,0,0,0,5960
"S29_151",1,"CAKE BAKERY BY ORDER",3,0,0,1,1,5960
"S29_152",1,"COFFEE AND SNACK SHOP",3,0,0,2,2,5960
"S29_171",1,"RETAIL OF TUPPERWARE FROM HOME",3,0,0,0,0,5960
"S29_187",1,"LAUNDRY SERVICES",3,1,0,3,4,5960
"S29_194",1,"FOOD STALL SERVING SIOMAY",3,0,0,3,3,5960
"S29_230",1,"CHICKEN AND PIG FARMING",3,0,0,4,4,5960
"S29_262",1,"RETAIL OF CLOTHES AND ACCESSORIES: BROOCH, VIA ONLINE",3,0,0,2,2,5960
"S29_39",1,"FOOD STALL SELLING NASI KUNING (KEDAI ARIFAH)",3,2,0,1,3,5960
"S29_4",2,"ONLINE CLOTHES TRADING AND HOME APPLIANCES",3,0,0,2,2,5960
"S29_4",1,"FOOD STORE VIA ONLINE MARKETING",3,0,1,1,2,5960
"S29_46",1,"PRODUCTION OF TRADITIONAL CAKES",3,0,0,0,0,5960
"S29_58",1,"CAKE SELLING VIA ONLINE",1,0,0,0,0,5960
"S29_8",1,"RETAIL OF HOME APPLIANCES BY ORDER",3,0,0,1,1,5960
"S29_81",1,"PADDY TRADING DURING HARVEST SEASON",3,0,1,2,3,5960
"S29_83",1,"SEWING SERVICE",3,0,0,0,0,5960
"S29_84",1,"CACAO PROCESSING BUSINESS",3,0,2,3,5,5960
"S29_91",1,"RESELLER OF OF CLOTHES AT HOME",3,0,0,0,0,5960
"S2_12",1,"KIDS AND FEMALE CLOTHES TRADING, ONLINE AND OFFLINE",3,0,0,0,0,6034
"S2_126",1,"IRON AND STEEL WELDING WORKSHOP PRODUCING FENCES, STAIRS, ETC BY ORDER",3,0,4,0,4,6034
"S2_135",1,"WHOLESALE OF SNACKS TO RETAILERS",3,0,0,0,0,6034
"S2_17",1,"CLOTHES TRADING, T-SHIRT, HAT, PANTS, ETC ""VICTIM DISTRO""",3,0,0,1,1,6034
"S2_179",2,"PADDY AGRICULTURE",3,0,41,4,45,6034
"S2_179",1,"CHICKEN FARMING",3,0,2,3,5,6034
"S2_184",2,"GOAT FARMING",3,0,0,1,1,6034
"S2_184",3,"NILA AND CAT FISH CULTIVATION",3,1,0,1,2,6034
"S2_184",1,"PADDY AGRICULTURE",2,10,0,3,13,6034
"S2_193",1,"MIDDLEMAN OF IRON AND LIGHT STEEL TRADING",3,0,0,0,0,6034
"S2_196",1,"VEGETABLES AGRICULTURE",3,2,0,2,4,6034
"S2_20",1,"MOLEN RENT",3,0,0,0,0,6034
"S2_225",1,"RICE FIELD RENT SERVICE",1,0,0,0,0,6034
"S2_225",2,"MEDICAL CLINIC",3,0,0,0,0,6034
"S2_225",3,"HOUSE RENT SERVICE",3,0,1,0,1,6034
"S2_229",1,"PADDY AGRICULTURE",3,0,2,2,4,6034
"S2_260",1,"PADDY AGRICULTURE",3,0,10,2,12,6034
"S2_275",1,"FATTENNING CATTLE BUSINESS",3,0,0,0,0,6034
"S2_396",1,"PADDY AGRICULTURE",3,0,16,0,16,6034
"S2_420",1,"RETAIL OF SLIPPERS FOR KIDS AND ADULT IN A STORE",3,0,0,0,0,6034
"S2_470",1,"RETAIL OF GASOLINE: PERTALITE, SOLAR, ETC - STREET SELLING",3,0,1,0,1,6034
"S2_471",1,"GROCERIES STORE ",3,0,0,2,2,6034
"S2_49",1,"USED MOTORCYCLE TRADING",3,0,0,1,1,6034
"S2_60",1,"FIBER TRADING",3,0,0,0,0,6034
"S2_63",1,"SEWING SERVICE ""TAYLOR BU TUTIK""",3,0,0,0,0,6034
"S2_63",2,"CATERING SERVICE ""DAPUR 88""",3,0,1,0,1,6034
"S2_654",1,"PADDY AGRICULTURE",3,0,10,0,10,6034
"S2_687",1,"CORN AGRICULTURE",3,0,26,0,26,6034
"S30_116",1,"SEA WEED CULTIVATION",3,0,3,0,3,5851
"S30_118",1,"TUMPANG SARI AGRICULTURE",3,0,1,0,1,5851
"S30_124",1,"GROCERIES STALL",3,0,2,0,2,5851
"S30_124",2,"CORN AGRICULTURE",3,0,2,0,2,5851
"S30_135",1,"SELLING POULTRY (DEDAK)",3,0,0,0,0,5851
"S30_15",1,"NILAM TREES PLANTATION",3,0,0,1,1,5851
"S30_160",2,"CACAO PLANTATION",1,1,1,0,2,5851
"S30_160",1,"CLOVE PLANTATION",1,1,1,0,2,5851
"S30_170",1,"MANUFACTURE OF CHAIR",3,1,0,0,1,5851
"S30_174",1,"PADDY AGRICULTURE",3,0,2,1,3,5851
"S30_178",1,"PADDY AGRICULTURE",3,0,4,0,4,5851
"S30_208",1,"CLOVE AGRICULTURE",3,0,4,0,4,5851
"S30_220",1,"PADDY AGRICULTURE",3,0,6,0,6,5851
"S30_26",1,"RETAIL OF KITCHEN SPICES IN MARKET",3,0,0,3,3,5851
"S30_270",1,"BRICKS PRODUCTION",1,0,2,0,2,5851
"S30_283",1,"SEWING MACHINE REPAIRMENT SERVICE",3,0,0,0,0,5851
"S30_292",2,"CLOVE PLANTATION",3,0,0,0,0,5851
"S30_292",1,"NILAM TREES PLANTATION",3,0,6,0,6,5851
"S30_337",1,"PADDY AGRICULTURE",3,0,2,0,2,5851
"S30_35",2,"CATTLE FARMING",1,0,1,0,1,5851
"S30_35",1,"RETAIL OF AGRICULTURE INPUTS, FERTILIZER, VITAMIN, ETC FROM HOME",3,0,0,1,1,5851
"S30_355",1,"CORN AGRICULTURE",3,0,0,1,1,5851
"S30_373",1,"CAKE BAKERY",3,0,0,1,1,5851
"S30_376",1,"SEWING ENGINE REPAIRMENT SERVICES",3,0,0,0,0,5851
"S30_414",1,"COCONUT AND NUTMEGS PLANTATION",3,0,0,1,1,5851
"S30_423",1,"CACAO PROCESSING BUSINESS",3,0,3,0,3,5851
"S30_442",1,"CRAB FISHING",3,0,0,0,0,5851
"S30_474",1,"ORGAN OR ELECTONE RENT SERVICE",3,0,7,0,7,5851
"S30_487",1,"PIG FARMING",3,0,0,2,2,5851
"S30_499",1,"MANUFACTURE OF WOODS FOR WINDOWS, DOORS, ETC",3,4,0,0,4,5851
"S30_50",1,"COCOA PLANTATION",3,0,3,0,3,5851
"S30_503",1,"PADDY AGRICULTURE",3,0,1,0,1,5851
"S30_506",1,"PADDY AGRICULTURE",3,0,20,0,20,5851
"S30_572",1,"PADDY AGRICULTURE",2,0,4,0,4,5851
"S30_6",1,"PADDY AGRICULTURE",2,0,2,0,2,5851
"S30_67",1,"TIRE REPAIRMENT SERVICES",3,0,0,0,0,5851
"S30_80",1,"PADDY AGRICULTURE",3,0,2,0,2,5851
"S30_89",1,"BANDENG FISH TRADING",3,0,4,0,4,5851
"S30_98",1,"VEGETABLES AGRICULTURE",3,0,0,2,2,5851
"S31_16",1,"PRODUCTION OF TRADITIONAL CAKES",3,0,0,1,1,311
"S31_29",1,"MATERNITY CLINIC",3,2,0,0,2,311
"S31_39",1,"ICE STALL",3,0,2,0,2,311
"S31_40",1,"GROCERIES STORE ",3,0,0,2,2,311
"S31_52",1,"GROCERIES STORE ",3,2,0,0,2,311
"S31_8",1,"STREET SELLING BAGS ",3,0,0,0,0,311
"S31_89",1,"PRODUCTION AND SELLING OF NOODLE INGREDIENTS TO PROCESS CHICKEN NOODLES",3,0,0,0,0,311
"S32_18",1,"AGRICULTURE CROP TRADING",3,0,0,0,0,520
"S32_20",1,"WALET NEST TRADING",1,1,0,0,1,520
"S32_20",2,"SELLING GASOLINE PERTAMINI",1,9,0,0,9,520
"S32_31",1,"MAKE UP AND BRIDAL SERVICE",1,0,3,0,3,520
"S32_34",1,"WHOLESALE OF WHEAT FLOUR AT HOME SOLD TO STALLS",1,0,0,0,0,520
"S32_47",1,"SOUND SYSTEM RENTAL SERVICE",3,5,0,0,5,520
"S32_48",1,"RETAIL OF COCONUT AT HOME",3,0,4,0,4,520
"S32_76",1,"DUMP TRUCK RENT SERVICE",3,2,4,0,6,520
"S33_109",1,"PALM OIL PLANTATION",3,0,0,1,1,3338
"S33_139",1,"PADDY AGRICULTURE",1,0,0,2,2,3338
"S33_160",1,"RUBBER PLANTATION",3,0,0,2,2,3338
"S33_18",1,"HIJAB STORE",3,0,0,0,0,3338
"S33_23",1,"RESTAURANT",3,1,0,0,1,3338
"S33_35",1,"CAKE AND BAKERY",3,0,1,0,1,3338
"S33_53",1,"PALM OIL PLANTATION",3,0,4,0,4,3338
"S33_59",1,"PRODUCTION OF TRADITIONAL CAKES",3,0,0,1,1,3338
"S33_59",2,"ONLINE SELLING OF COSMETICS",3,0,0,1,1,3338
"S33_62",2,"SELLING MINERAL WATER IN GALON FROM HOME",3,0,0,1,1,3338
"S33_62",1,"RETAIL OF CLOTHES AT HOME",3,0,0,0,0,3338
